n = 2^10; Tiempo NearestX ; IOs NearestX ; Tiempo Hilbert; IOs Hilbert; Tiempo STR; IOS STR;
Rect(7697, 465840, 83831, 488907); 11600; 1; 12200; 1; 11700; 1
Rect(212063, 4601, 283576, 67016); 12100; 1; 10900; 1; 16500; 1
Rect(471172, 412125, 494443, 485298); 11400; 1; 11200; 1; 10900; 1
Rect(444738, 465429, 500000, 500000); 11600; 1; 11200; 1; 11600; 1
Rect(142075, 161111, 150734, 161235); 18100; 1; 17500; 1; 12200; 1
Rect(49960, 230496, 146498, 235595); 11800; 1; 12400; 1; 11300; 1
Rect(104331, 431133, 140929, 500000); 11400; 1; 11000; 1; 16000; 1
Rect(385273, 79747, 441138, 171941); 11200; 1; 11200; 1; 13200; 1
Rect(361870, 249872, 452208, 273655); 11200; 1; 11000; 1; 13000; 1
Rect(297716, 239696, 338704, 265941); 30000; 1; 11400; 1; 17400; 1
Rect(485525, 299443, 500000, 369316); 18400; 1; 11500; 1; 17100; 1
Rect(2056, 244968, 69289, 276508); 12200; 1; 10800; 1; 17000; 1
Rect(489597, 433327, 500000, 443789); 10800; 1; 10700; 1; 27800; 1
Rect(330981, 27114, 421933, 90766); 11500; 1; 10800; 1; 11600; 1
Rect(30017, 200478, 49016, 295359); 11400; 1; 12100; 1; 11300; 1
Rect(466242, 221424, 500000, 300398); 11700; 1; 10900; 1; 10600; 1
Rect(242896, 332583, 284945, 349670); 11100; 1; 14600; 1; 10600; 1
Rect(84417, 411540, 120951, 452771); 11300; 1; 13800; 1; 10800; 1
Rect(176700, 27427, 221198, 67867); 10800; 1; 11300; 1; 11200; 1
Rect(229697, 236180, 318305, 311423); 11500; 1; 10900; 1; 14600; 1
Rect(153683, 474121, 213411, 500000); 11300; 1; 10700; 1; 11800; 1
Rect(98617, 136290, 149970, 187798); 12000; 1; 10800; 1; 17900; 1
Rect(202333, 393749, 289298, 410748); 11500; 1; 11200; 1; 14600; 1
Rect(377810, 89281, 390779, 165020); 15400; 1; 11400; 1; 13900; 1
Rect(79808, 292644, 175191, 309238); 14700; 1; 11100; 1; 14800; 1
Rect(489696, 43794, 500000, 83865); 26700; 1; 11400; 1; 11500; 1
Rect(211513, 440942, 240429, 500000); 55600; 1; 11700; 1; 13200; 1
Rect(290805, 106287, 311628, 111941); 12500; 1; 12200; 1; 21300; 1
Rect(350208, 71269, 360946, 128480); 11000; 1; 12400; 1; 17400; 1
Rect(223875, 116801, 290691, 124122); 11400; 1; 13200; 1; 14900; 1
Rect(133726, 290371, 183938, 335533); 11800; 1; 14100; 1; 13500; 1
Rect(249486, 395419, 272579, 448334); 11600; 1; 21300; 1; 12500; 1
Rect(371739, 274000, 434641, 276914); 15400; 1; 15800; 1; 11700; 1
Rect(52451, 374628, 137205, 456127); 11800; 1; 17300; 1; 15600; 1
Rect(176439, 57759, 244593, 73095); 11500; 1; 17100; 1; 12100; 1
Rect(2799, 56171, 66904, 108089); 11600; 1; 27100; 1; 44200; 1
Rect(102252, 285620, 121520, 373520); 12100; 1; 22000; 1; 21400; 1
Rect(274883, 28457, 290180, 83954); 13200; 1; 14500; 1; 21900; 1
Rect(491090, 392933, 500000, 466823); 26200; 1; 21800; 1; 21100; 1
Rect(317325, 397345, 334404, 408779); 27600; 1; 22200; 1; 15600; 1
Rect(40381, 47151, 114161, 81826); 40300; 1; 13500; 1; 13100; 1
Rect(7664, 128259, 65890, 181660); 27500; 1; 11800; 1; 14200; 1
Rect(96097, 352124, 127188, 450618); 26900; 1; 11300; 1; 12600; 1
Rect(307062, 298766, 360274, 299552); 27800; 1; 19600; 1; 13000; 1
Rect(273003, 151380, 347625, 210798); 27600; 1; 14400; 1; 12500; 1
Rect(52229, 489541, 140891, 500000); 28200; 1; 12900; 1; 13500; 1
Rect(12127, 279957, 105768, 310687); 27700; 1; 13700; 1; 14000; 1
Rect(365236, 303417, 402046, 387376); 45100; 1; 13100; 1; 23600; 1
Rect(284729, 2407, 334983, 78776); 37300; 1; 12500; 1; 26500; 1
Rect(52097, 264473, 139516, 318954); 26500; 1; 12300; 1; 18500; 1
Rect(182446, 62282, 280136, 82618); 26200; 1; 12600; 1; 14800; 1
Rect(364534, 442253, 399926, 500000); 26600; 1; 14100; 1; 14500; 1
Rect(346882, 136919, 362682, 148771); 25900; 1; 13100; 1; 15000; 1
Rect(19952, 169108, 81794, 201711); 25600; 1; 12600; 1; 15500; 1
Rect(481008, 63432, 500000, 161698); 2161700; 3; 12300; 1; 1006300; 3
Rect(327208, 97452, 328550, 179322); 27200; 1; 12500; 1; 15200; 1
Rect(37684, 67006, 109811, 162847); 25600; 1; 11800; 1; 13700; 1
Rect(458081, 239308, 488539, 313969); 26300; 1; 12000; 1; 16100; 1
Rect(471783, 117137, 498922, 181806); 26800; 1; 16200; 1; 14700; 1
Rect(434323, 182907, 482048, 256087); 25500; 1; 19900; 1; 19100; 1
Rect(347571, 110230, 431339, 209917); 25700; 1; 16800; 1; 19500; 1
Rect(98984, 408078, 114874, 423895); 88700; 1; 14200; 1; 19900; 1
Rect(399695, 438543, 496717, 465441); 28000; 1; 12000; 1; 17800; 1
Rect(21732, 191818, 25055, 235271); 25100; 1; 12400; 1; 24400; 1
Rect(259777, 306457, 336289, 322881); 26200; 1; 13300; 1; 19600; 1
Rect(481530, 475309, 494149, 478025); 25400; 1; 15300; 1; 15200; 1
Rect(68587, 66231, 149125, 154450); 25600; 1; 14000; 1; 12900; 1
Rect(378209, 88580, 419246, 124721); 26500; 1; 17600; 1; 13300; 1
Rect(359744, 312666, 447714, 336453); 34900; 1; 13200; 1; 13700; 1
Rect(459476, 481650, 500000, 500000); 28400; 1; 12500; 1; 12100; 1
Rect(280507, 106553, 296235, 133018); 27000; 1; 15300; 1; 30500; 1
Rect(320034, 350710, 375383, 356814); 27400; 1; 23200; 1; 13000; 1
Rect(330289, 52972, 386799, 107783); 27700; 1; 30700; 1; 18000; 1
Rect(473510, 152656, 500000, 160964); 25100; 1; 30100; 1; 21800; 1
Rect(256517, 46255, 310041, 97616); 25800; 1; 13100; 1; 16200; 1
Rect(489461, 444057, 500000, 492468); 25800; 1; 12900; 1; 16300; 1
Rect(435452, 316690, 500000, 328745); 28500; 1; 12900; 1; 13700; 1
Rect(134289, 263389, 233980, 350002); 47200; 1; 13300; 1; 18200; 1
Rect(489826, 104080, 500000, 182293); 3443899; 3; 13400; 1; 1387799; 3
Rect(29084, 441910, 127723, 456848); 44900; 1; 12000; 1; 15600; 1
Rect(259298, 176832, 330070, 185175); 130100; 1; 12900; 1; 13200; 1
Rect(327327, 24035, 411750, 113104); 49400; 1; 13600; 1; 12900; 1
Rect(195590, 250901, 294267, 280439); 46400; 1; 11900; 1; 12100; 1
Rect(9497, 310930, 78981, 387966); 45400; 1; 18700; 1; 20900; 1
Rect(974, 326722, 86889, 395687); 83700; 1; 15400; 1; 17000; 1
Rect(28138, 154533, 100729, 155915); 50200; 1; 16100; 1; 12600; 1
Rect(295618, 26157, 371969, 86965); 44500; 1; 17800; 1; 12000; 1
Rect(414894, 252245, 492648, 332020); 65100; 1; 15600; 1; 16000; 1
Rect(141671, 446785, 231492, 500000); 77600; 1; 24500; 1; 18300; 1
Rect(191112, 467799, 202737, 497714); 46500; 1; 17900; 1; 14900; 1
Rect(48480, 19813, 144161, 94068); 46200; 1; 15200; 1; 12300; 1
Rect(262373, 170013, 308457, 244523); 45700; 1; 14800; 1; 13700; 1
Rect(483171, 273702, 500000, 323111); 63300; 1; 40900; 1; 10900; 1
Rect(392419, 435609, 432437, 457411); 54800; 1; 17500; 1; 47000; 1
Rect(7410, 135048, 42738, 204801); 44300; 1; 15500; 1; 15300; 1
Rect(130877, 338015, 170678, 384809); 43900; 1; 21400; 1; 36400; 1
Rect(200383, 33368, 253644, 103551); 46000; 1; 28900; 1; 11700; 1
Rect(474638, 395215, 500000, 433496); 46500; 1; 19900; 1; 15500; 1
; 8433299; 104; 1511400; 100; 3985299; 104

n = 2^13; Tiempo NearestX ; IOs NearestX ; Tiempo Hilbert; IOs Hilbert; Tiempo STR; IOS STR;
